Kategori,Şirket,Sahibi/Not
Perakende,A101,Turgut Aydın'a ait
Perakende,Altunbilekler,
Perakende,BİM,Mustafa Latif Topbaş'a ait
Perakende,Bizim,
Perakende,Çağrı,
Perakende,Gimsa,Melih Gökçek ile bağlantısı var
Perakende,Happy Center,
Perakende,İsmar,
Perakende,Kiler,
Perakende,Namlı,
Perakende,Mopaş,
Perakende,Rammar,
Perakende,Şok,Ülker'e ait
Perakende,Yimpaş,
Online Alışveriş,Avansas.com,Mustafa Latif Topbaş'a ait
Online Alışveriş,ElmaSepeti.com,
Online Alışveriş,MemlekettenGelsin.com,
Online Alışveriş,n11.com,Doğuş Grubu'na ait
Online Alışveriş,Zubizu.com,Doğuş Grubu'na ait
Gıda,AB Gıda,Kemal Unakıtan'a ait
Gıda,Arbella,
Gıda,Aytaç Etli Mamuller,
Gıda,Bağdat Baharat,
Gıda,Coşkun Gıda Ürünleri,
Gıda,Golda,Kombassan Holding'e ait
Gıda,Hamidiye Su,"İstanbul Büyükşehir Belediyesi'ne ait, Ensar Vakfı'na para kazandıran marka"
Gıda,Hekimoğlu Un,
Gıda,Karali Çay,
Gıda,Kellogs,
Gıda,Kızılay Maden Suyu,
Gıda,Kristal Kola,
Gıda,Mudurnu Tavukçuluk,
Gıda,Orkide,
Gıda,Ova Süt,
Gıda,Saray Bisküvi,
Gıda,Sinangil Un,
Gıda,Superfresh,
Gıda,Sütaş,
Gıda,Torku,
Gıda,Torunlar Gıda,(bkz: 6 eylül 2014 mecidiyeköy asansör kazası)
Gıda,Uzay Gıda,
Gıda,Ülker,
Gıda,Yörsan,
Gıda,Zade,
Cafe / Restoran,Adile Sultan Sarayı Kandilli,Doğuş Grubu'na ait
Cafe / Restoran,Anjelique,Doğuş Grubu'na ait
Cafe / Restoran,Ayvalık Tostçusu,İstiklal Caddesi'nde. Gezi Direnişi'nde eylemcilere hakaret ettiler
Cafe / Restoran,Bahar Pastaneleri,
Cafe / Restoran,Bambi Cafe,Gezi Direnişi'nde eylemcilere kapılarını kapattılar
Cafe / Restoran,Beltur,İBB'nin tarihi ve kültürel mekanlardan rant elde etmesi
Cafe / Restoran,Borsa Restaurant,Doğuş Grubu'na ait
Cafe / Restoran,Büfe,Eski adıyla Rumeli Marmaris Büfe. Gezi Direnişi'nde kapattılar
Cafe / Restoran,Coya Restaurant,Doğuş Grubu'na ait
Cafe / Restoran,Crate Café,Doğuş Grubu'na ait
Cafe / Restoran,Çubuklu 29,Doğuş Grubu'na ait
Cafe / Restoran,D.ream Akademi,Doğuş Grubu'na ait
Cafe / Restoran,Da Mario Ristorante,Doğuş Grubu'na ait
Cafe / Restoran,Dadaloğlu Büfe,Taksim'de Mis Sokak'ta. Gezi Direnişi'nde eylemcilere saldırdılar
Cafe / Restoran,Delimonti,Doğuş Grubu'na ait
Cafe / Restoran,Emperio Armani Ristorante,Doğuş Grubu'na ait
Cafe / Restoran,Es İnci Börek,Eskişehir'de. Eylemcilerin malzemelerini çaldılar
Cafe / Restoran,Esmar,Eskişehir'de. Kapılarını kapattılar
Cafe / Restoran,Espark,Eskişehir'de. Kapılarını kapattılar
Cafe / Restoran,Faruk Güllüoğlu,Gezi Direnişi'ndeki tutumu nedeniyle boykot edilmeli
Cafe / Restoran,Fenix İstanbul,Doğuş Grubu'na ait
Cafe / Restoran,Foodist Catering,Doğuş Grubu'na ait
Cafe / Restoran,Gina,Doğuş Grubu'na ait
Cafe / Restoran,Go Meso,Doğuş Grubu'na ait
Cafe / Restoran,Go Mongo,Doğuş Grubu'na ait
Cafe / Restoran,Godiva,Doğuş Grubu'na ait
Cafe / Restoran,Günaydın Et/Burger/Döner,Doğuş Grubu'na ait
Cafe / Restoran,Hasanoğlu Pastanesi,Eskişehir'de. Kapılarını kapattılar
Cafe / Restoran,Huqqa,
Cafe / Restoran,İpar Kebap Salonu,
Cafe / Restoran,İstanbul Modern Restoran,Doğuş Grubu'na ait
Cafe / Restoran,Kahve Dünyası,Gezi Direnişi'nde eylemcilere kapılarını kapattılar
Cafe / Restoran,Kebapçı Etıler,Doğuş Grubu'na ait
Cafe / Restoran,Kızılkayalar,Gezi Direnişi'ndeki tutumu nedeniyle boykot edilmeli
Cafe / Restoran,Kitchenette,Doğuş Grubu'na ait
Cafe / Restoran,Kiva,Doğuş Grubu'na ait
Cafe / Restoran,La Petite Maison,Doğuş Grubu'na ait
Cafe / Restoran,Lacivert Bar & Restaurant,Doğuş Grubu'na ait
Cafe / Restoran,Little Caesars,Gezi Direnişi'ndeki tutumu nedeniyle boykot edilmeli
Cafe / Restoran,Mado,Franchise olmasına rağmen Gezi Direnişi'ndeki tutumu nedeniyle boykot edilmeli
Cafe / Restoran,Masa,Doğuş Grubu'na ait
Cafe / Restoran,Merve Pastaneleri,
Cafe / Restoran,Mezzaluna,Doğuş Grubu'na ait
Cafe / Restoran,Namlı Kebap,
Cafe / Restoran,Nusr-et,Doğuş Grubu'na ait
Cafe / Restoran,Oblix,Doğuş Grubu'na ait
Cafe / Restoran,Özbesin,Eskişehir'de. Gezi Direnişi'nde eylemcilere kapılarını kapattılar
Cafe / Restoran,Parlé,Doğuş Grubu'na ait
Cafe / Restoran,Peximet,İzmir/Alsancak'ta. Gezi Direnişi'ndeki tutumu nedeniyle boykot edilmeli
Cafe / Restoran,Pizza Lazza,
Cafe / Restoran,Raika,Doğuş Grubu'na ait
Cafe / Restoran,Reyhan Pastanesi,İzmir'de. Gezi Direnişi'nde eylemcilere kapılarını kapattılar
Cafe / Restoran,Roka,Doğuş Grubu'na ait
Cafe / Restoran,Sait,Doğuş Grubu'na ait
Cafe / Restoran,Saray Muhallebicisi,Kadir Topbaş'a ait
Cafe / Restoran,Sele,Doğuş Grubu'na ait
Cafe / Restoran,Sütiş,Gezi Direnişi'ndeki tutumu nedeniyle boykot edilmeli
Cafe / Restoran,Şah Cafe,Taksim'de Ayhan Işık Sokak'ta. Gezi Direnişi'nde eylemcilere saldırdılar
Cafe / Restoran,Şahan Kebap,
Cafe / Restoran,Şirvan Kebap,
Cafe / Restoran,The Populist,Doğuş Grubu'na ait
Cafe / Restoran,Tom's Kitchen,Doğuş Grubu'na ait
Cafe / Restoran,Ulus 29,Doğuş Grubu'na ait
Cafe / Restoran,Vogue,Doğuş Grubu'na ait
Cafe / Restoran,Yeşilçam Cafe,Taksim'de Ayhan Işık Sokak'ta. Gezi Direnişi'nde eylemcilere saldırdılar
Cafe / Restoran,Zuma,
Bilişim ve Teknoloji,Bimeks,
Bilişim ve Teknoloji,Penta Bilgisayar,
Bilişim ve Teknoloji,Turkcell,Ensar Vakfı sponsoru
Bilişim ve Teknoloji,Türk Telekom,AKP rejiminin internet politikasına eklemlenmiş durumda
Bilişim ve Teknoloji,Vestel,Pazar payını artırabilmek için ithal ürünlere ilave vergi getirilmesini savunuyor
Sağlık,Avcılar Hospital,AKP'li bakan Mehmet Müezzinoğlu'na ait
Sağlık,Ensar Hastanesi,
Sağlık,Medical Park,Hisselerinin bir kısmı Emine Erdoğan’a ait
Sağlık,Memorial Hastanesi,
Sağlık,Şifa Hastaneleri,
Sağlık,Türkiye Hastanesi,
Hazır Giyim,Armani Jeans,Doğuş Grubu'na ait
Hazır Giyim,Armani Junior,Doğuş Grubu'na ait
Hazır Giyim,Capritouch,Doğuş Grubu'na ait
Hazır Giyim,Çetinkaya,
Hazır Giyim,Emporio Armani,Doğuş Grubu'na ait
Hazır Giyim,Gencallar,
Hazır Giyim,Giorgio Armani,Doğuş Grubu'na ait
Hazır Giyim,Gucci,Doğuş Grubu'na ait
Hazır Giyim,Huzur,
Hazır Giyim,In4Out,Doğuş Grubu'na ait
Hazır Giyim,In-Formal,Doğuş Grubu'na ait
Hazır Giyim,Kığılı,Erenköy Cemaati ile bağlantılı olan Kiğılı ailesine ait
Hazır Giyim,Kiko Milano,Doğuş Grubu'na ait
Hazır Giyim,LC Waikiki,Doğuş Grubu'na ait
Hazır Giyim,Lora Piana,Doğuş Grubu'na ait
Hazır Giyim,M-Missoni,Doğuş Grubu'na ait
Hazır Giyim,Orlebar Brown,Doğuş Grubu'na ait
Hazır Giyim,Ramsey,RTE'nin kıyafet sponsoru ve çocuklarının eğitim sponsoru
Hazır Giyim,Sabri Özel,
Hazır Giyim,Sarar,
Hazır Giyim,Süvari,
Hazır Giyim,Tekbir,
Hazır Giyim,Under Armour,Doğuş Grubu'na ait
Ulaşım,Altur Turizm,Abdurrahim Albayrak'a ait
Ulaşım,Antar Turizm,Doğuş Grubu'na ait
Cafe / Restoran,Vouge,Doğuş Grubu'na ait
Ulaşım,Atlasjet,
Ulaşım,BUDO,
Ulaşım,Havaş,
Ulaşım,İDO,
Ulaşım,Metro Turizm,
Ulaşım,Onur Air,
Ulaşım,TAV,
Ulaşım,THY,
Ulaşım,Vakıf Turizm,
Hijyen Ürünleri,Sanino,Evyap Grubu'na ait
Hijyen Ürünleri,Teno,Hayat Holding'e ait
Bankalar,Albaraka Türk,
Bankalar,Alternatif Bank,Hisselerinin yüzde 74.25'i Commercial Bank of Qatar'a ait
Bankalar,Arap Türk Bankası,Hisselerinin yüzde 20'si Türkiye İş Bankasına ait olmasına rağmen kalanı Arap sermayesine ait
Bankalar,Finansbank,Hisselerinin yüzde 99.81'i Qatar National Bank'e ait
Bankalar,Garanti Bankası,Hisselerinin bir kısmı Doğuş Grubu'na ait
Bankalar,Halkbank,17-25 Aralık soruşturmalarına konu olmuş yolsuzlukların merkezindeki banka
Bankalar,Kuveyt Türk,
Bankalar,Odeabank,Hisselerinin yüzde 93.82'si Lübnanlı Bank Audi'ye ait
Bankalar,T-Bank,"Hisselerinin yüzde 50'si Bankmed'e, yüzde 40'ı Arab Bank'e ait"
Bankalar,Turkish Bank,
Bankalar,Türkiye Finans,"Hisselerinin yüzde 58.92'si Özyeğin Holding'e, yüzde 34.29'u National Bank of Kuwait'e ait"
Eğitim,ASFA Koleji,
Eğitim,Bezmialem Vakıf Üniversitesi,
Eğitim,Doğa Koleji,
Eğitim,EduTime Dil Kursları,
Eğitim,Fatih Sultan Mehmet Vakıf Üniversitesi,
Eğitim,İstanbul 29 Mayıs Üniversitesi,
Eğitim,İstanbul Sabahattin Zaim Üniversitesi,
Eğitim,İstanbul Ticaret Üniversitesi,Üniversitenin kurucuları AKP'nin kurucularından
Otomotiv,BMC,Ethem Sancak'a ait
Otomotiv,Doğuş Otomotiv,"Doğuş Grubu'na ait. (Audi, Bentley, Bugatti, Lamborghini, Meiller, Kipper, Porsche, Seat, Skoda, Thermo, King, Volkswagen)"
Otomotiv,Emin Otomotiv,
Televizyon,360,Esmedya'ya (Ethem Sancak) ait
Televizyon,A Haber,Turkuvaz Medya Grubu'na ait
Televizyon,A Spor,Turkuvaz Medya Grubu'na ait
Televizyon,ATV,Turkuvaz Medya Grubu'na ait
Televizyon,Beyaz TV,Melih Gökçek'e ait
Televizyon,Digiturk,Katarlı beIN Media Group'a ait
Televizyon,Euro Star,Doğuş Grubu'na ait
Televizyon,Hilal TV,
Televizyon,İzmir TV,Turkuvaz Medya Grubu'na ait
Televizyon,Kanal 24,Star Medya Grubu'na (Ethem Sancak) ait
Televizyon,Kanal 7,Erbakan'ın kurdurduğu kanal. Yeni Dünya Medya Grubu'na ait
Televizyon,Kral Pop TV,Doğuş Grubu'na ait
Televizyon,Kral TV,Doğuş Grubu'na ait
Televizyon,Minika,Turkuvaz Medya Grubu'na ait
Televizyon,NTV,Doğuş Grubu'na ait
Televizyon,NTV Avrupa,Doğuş Grubu'na ait
Televizyon,NTVSpor,Doğuş Grubu'na ait
Televizyon,Star TV,Doğuş Grubu'na ait
Televizyon,TGRT,İhlas Holding'e ait
Televizyon,TRT,Yurttaşın vergisiyle rejim propagandası yapılan kanal
Televizyon,TV4,Star Medya Grubu'na (Ethem Sancak) ait
